_id,Date,HB,HealthcareCdiffInfection,HealthcareCdiffInfectionQF,HealthcareEcoliBacteraemia,HealthcareEcoliBacteraemiaQF,HealthcareSaureusBacteraemia,HealthcareSaureusBacteraemiaQF,HealthcareTotalOccupiedBedDays,HealthcareTotalOccupiedBedDaysQF,CommunityCdiffInfection,CommunityCdiffInfectionQF,CommunityEcoliBacteraemia,CommunityEcoliBacteraemiaQF,CommunitySaureusBacteraemia,CommunitySaureusBacteraemiaQF,CommunityAnnualisedPopulation,CommunityAnnualisedPopulationQF,HipArthroplastySSI,HipArthroplastySSIQF,HipArthroplastyProcedures,HipArthroplastyProceduresQF,CsectionSSI,CsectionSSIQF,CsectionProcedures,CsectionProceduresQF
164,2019Q3,S08000032,24,"",65,"",31,"",146465,"",8,"",88,"",12,"",166835.0685,"",1,"",93,"",4,"",398,""
165,2019Q3,SB0801,1,"",3,"",1,"",12067,"",,z,,z,,z,,z,3,"",439,"",,z,,z
166,2019Q4,S08000015,21,"",46,"",16,"",111501,"",6,"",41,"",9,"",93098.9589,"",0,"",150,"",2,"",251,""
167,2019Q4,S08000016,3,"",14,"",2,"",29415,"",2,"",12,"",2,"",29114.84932,"",2,"",90,"",0,"",63,""
168,2019Q4,S08000017,6,"",18,"",2,"",46458,"",2,"",21,"",2,"",37520.87671,"",0,"",46,"",0,"",72,""
169,2019Q4,S08000019,13,"",38,"",8,"",79712,"",0,"",53,"",14,"",77290.08219,"",0,"",55,"",2,"",205,""
170,2019Q4,S08000020,17,"",53,"",20,"",133259,"",8,"",38,"",13,"",147628.4932,"",1,"",275,"",6,"",469,""
171,2019Q4,S08000022,8,"",18,"",10,"",73909,"",3,"",43,"",10,"",81086.0274,"",2,"",101,"",3,"",178,""
172,2019Q4,S08000024,42,"",95,"",32,"",249135,"",11,"",63,"",21,"",228759.8904,"",1,"",236,"",6,"",685,""
173,2019Q4,S08000025,0,"",1,"",1,"",2915,"",0,"",2,"",0,"",5613.260274,"",0,"",0,"",0,"",8,""
174,2019Q4,S08000026,2,"",3,"",1,"",2673,"",0,"",4,"",1,"",5777.09589,"",0,"",0,"",0,"",9,""
175,2019Q4,S08000028,3,"",2,"",1,"",6884,"",1,"",5,"",0,"",6734.90411,"",1,"",17,"",0,"",11,""
176,2019Q4,S08000029,12,"",55,"",10,"",91708,"",4,"",34,"",8,"",94155.06849,"",1,"",127,"",5,"",216,""
177,2019Q4,S08000030,8,"",54,"",30,"",117973,"",4,"",54,"",14,"",105225.3151,"",3,"",170,"",2,"",290,""
178,2019Q4,S08000031,70,"",151,"",69,"",429650,"",10,"",125,"",22,"",298211.0685,"",4,"",319,"",4,"",1306,""
179,2019Q4,S08000032,25,"",77,"",30,"",147326,"",12,"",73,"",16,"",166835.0685,"",1,"",125,"",5,"",349,""
180,2019Q4,SB0801,1,"",1,"",1,"",11659,"",,z,,z,,z,,z,1,"",434,"",,z,,z
181,2020Q1,S08000015,17,"",50,"",19,"",107446,"",9,"",52,"",15,"",91835.40984,"",,z,,z,,z,,z
182,2020Q1,S08000016,3,"",10,"",3,"",28855,"",3,"",13,"",3,"",28719.69945,"",,z,,z,,z,,z
183,2020Q1,S08000017,12,"",15,"",8,"",44334,"",2,"",20,"",8,"",37011.63934,"",,z,,z,,z,,z
184,2020Q1,S08000019,9,"",37,"",8,"",76312,"",1,"",39,"",6,"",76241.0929,"",,z,,z,,z,,z
185,2020Q1,S08000020,17,"",49,"",16,"",131518,"",10,"",48,"",16,"",145624.8634,"",,z,,z,,z,,z
186,2020Q1,S08000022,16,"",16,"",6,"",71286,"",3,"",20,"",8,"",79985.51913,"",,z,,z,,z,,z
187,2020Q1,S08000024,25,"",84,"",43,"",240426,"",6,"",70,"",27,"",225655.1366,"",,z,,z,,z,,z
188,2020Q1,S08000025,0,"",1,"",2,"",3184,"",0,"",3,"",3,"",5537.076503,"",,z,,z,,z,,z
189,2020Q1,S08000026,0,"",1,"",0,"",2514,"",0,"",1,"",2,"",5698.688525,"",,z,,z,,z,,z
190,2020Q1,S08000028,1,"",2,"",1,"",6357,"",1,"",5,"",0,"",6643.497268,"",,z,,z,,z,,z
191,2020Q1,S08000029,7,"",42,"",11,"",87695,"",1,"",31,"",6,"",92877.18579,"",,z,,z,,z,,z
192,2020Q1,S08000030,8,"",44,"",19,"",111519,"",0,"",41,"",13,"",103797.1858,"",,z,,z,,z,,z
